url,category,in_repo,suggested_to,confidence,source_post,notes
/,home,yes,/,high,2013-08-03-resumes.markdown,
/2007/12/19/building-a-completely-automated-websshvnc-controlled-home-automation-server-from-a-clamshell-ibook-with-a-faulty-cd-drive-and-10-worth-of-electronics/,jekyll_post,no,/2007/12/19/building-a-completely-automated-websshvnc-controlled-home-automation-server-from-a-clamshell-ibook-with-a-faulty-cd-drive-and-10-worth-of-electronics/,high,2014-02-25-okiu.markdown,
/2009/11/15/hacking-the-girltech-im-me-usb-wireless-device/,jekyll_post,no,/2009/11/15/hacking-the-girltech-im-me-usb-wireless-device/,high,2014-02-25-okiu.markdown,
/2010/03/29/finished-building-my-first-guitar/,jekyll_post,no,/2010/03/29/finished-building-my-first-guitar/,high,2007-12-19-about.markdown,
/2011/05/04/no-solder-no-tools-no-trouble-usb-wii-sensor-bar-conversion/,jekyll_post,no,/2011/05/04/no-solder-no-tools-no-trouble-usb-wii-sensor-bar-conversion/,high,2012-10-04-a-treasure-chest-of-wii-goodness.markdown,
/2012/01/02/why-im-hip-to-android/,jekyll_post,no,/2012/01/02/why-im-hip-to-android/,high,2012-09-10-10-minute-hacks-asus-transformer-cade.markdown,
/2012/01/02/why-im-hip-to-android/,jekyll_post,no,/2012/01/02/why-im-hip-to-android/,high,2014-12-17-the-android-cant-open-all-your-bookmarks-in-tabs-conspiracy.markdown,
/2012/04/25/quick-pro-tip-add-a-tablet-holder-to-your-laptop-table/,jekyll_post,no,/2012/04/25/quick-pro-tip-add-a-tablet-holder-to-your-laptop-table/,high,2012-07-21-android-sound.markdown,
/2012/07/21/android-sound/,jekyll_post,no,/2012/07/21/android-sound/,high,2012-09-04-android-app-easy-bluetooth-time.markdown,
/2012/07/21/android-sound/,jekyll_post,no,/2012/07/21/android-sound/,high,2012-11-26-adding-sound-to-your-android-apps-and-games-part-2-of-the-2012-android-apps-refresh.markdown,
/2012/07/21/android-sound/#a1,jekyll_post,no,/2012/07/21/android-sound/#a1,high,2012-07-21-android-sound.markdown,
/2012/07/21/android-sound/#a12,jekyll_post,no,/2012/07/21/android-sound/#a12,high,2012-07-21-android-sound.markdown,
/2012/07/21/android-sound/#a2,jekyll_post,no,/2012/07/21/android-sound/#a2,high,2012-07-21-android-sound.markdown,
/2012/07/21/android-sound/#a4,jekyll_post,no,/2012/07/21/android-sound/#a4,high,2012-07-21-android-sound.markdown,
/2012/07/21/android-sound/#a5,jekyll_post,no,/2012/07/21/android-sound/#a5,high,2012-07-21-android-sound.markdown,
/2012/07/21/android-sound/#a6,jekyll_post,no,/2012/07/21/android-sound/#a6,high,2012-07-21-android-sound.markdown,
/2012/07/21/android-sound/#a7,jekyll_post,no,/2012/07/21/android-sound/#a7,high,2012-07-21-android-sound.markdown,
/2012/10/08/dreamcast-printer/,jekyll_post,no,/2012/10/08/dreamcast-printer/,high,2012-10-22-dreamcast-printer-as-a-coffee-table-wip.markdown,
/2012/12/07/adding-automatic-crash-reporting-to-your-android-apps-with-crittercism/,jekyll_post,no,/2012/12/07/adding-automatic-crash-reporting-to-your-android-apps-with-crittercism/,high,2013-10-03-tutorial-crashlytics-android-studio-crash-reporting-on-easy-mode.markdown,
/2012/12/30/android-game-pop-them-balloons-released/balloonstopop/#main,jekyll_post,no,/2012/12/30/android-game-pop-them-balloons-released/balloonstopop/#main,high,2012-12-30-pop-them-balloons.markdown,
/2012/12/30/android-game-pop-them-balloons-released/easymediumhardscreen/#main,jekyll_post,no,/2012/12/30/android-game-pop-them-balloons-released/easymediumhardscreen/#main,high,2012-12-30-pop-them-balloons.markdown,
/2012/12/30/android-game-pop-them-balloons-released/pop4blueballoons/#main,jekyll_post,no,/2012/12/30/android-game-pop-them-balloons-released/pop4blueballoons/#main,high,2012-12-30-pop-them-balloons.markdown,
/2012/12/30/android-game-pop-them-balloons-released/title/#main,jekyll_post,no,/2012/12/30/android-game-pop-them-balloons-released/title/#main,high,2012-12-30-pop-them-balloons.markdown,
/2012/12/30/android-game-pop-them-balloons-released/youpopped3yellowballoons/#main,jekyll_post,no,/2012/12/30/android-game-pop-them-balloons-released/youpopped3yellowballoons/#main,high,2012-12-30-pop-them-balloons.markdown,
/2013/01/08/rhapsody-ford-sync-debuts-ces-today/,jekyll_post,no,/2013/01/08/rhapsody-ford-sync-debuts-ces-today/,high,2013-04-27-basic-skeletal-animation-from-paper-to-math-to-code-part-1.markdown,
/2013/04/27/you-are-buying-this-for-life/,jekyll_post,no,/2013/04/27/you-are-buying-this-for-life/,high,2013-05-16-goodbye-paypal-goodbye-ebay.markdown,
/2013/04/28/lifestyle-are-your-personal-tastes-a-sound-investment-strategy-wherein-i-create-the-only-pay-yourself-strategy/,jekyll_post,no,/2013/04/28/lifestyle-are-your-personal-tastes-a-sound-investment-strategy-wherein-i-create-the-only-pay-yourself-strategy/,high,2013-04-29-personal-finance.markdown,
/2013/04/28/lifestyle-are-your-personal-tastes-a-sound-investment-strategy-wherein-i-create-the-only-pay-yourself-strategy/,jekyll_post,no,/2013/04/28/lifestyle-are-your-personal-tastes-a-sound-investment-strategy-wherein-i-create-the-only-pay-yourself-strategy/,high,2013-05-01-only-pay-yourself-may-1st-recap.markdown,
